wallet,chain,time,transfer_type,transfer_method,token_name,token_symbol,amount,amount_usd
W25,bsc,2023-01-05 4:35:14,swap_out,out,Wrapped BNB,WBNB,0.07893386677,20.34
W25,bsc,2023-01-05 4:35:14,swap_in,in,CryptoZoon,ZOON,28302.3069,18.89
W25,bsc,2023-01-05 9:56:29,swap_out,out,Wrapped BNB,WBNB,0.002596267643,0.67
W25,bsc,2023-01-05 9:56:29,swap_in,in,CryptoZoon,ZOON,931,0.62
W25,bsc,2023-01-05 19:43:16,swap_out,out,Wrapped BNB,WBNB,0.6199448874,159.31
W25,bsc,2023-01-05 19:43:16,swap_in,in,CryptoZoon,ZOON,222470.05,150.16
W25,bsc,2023-01-06 12:14:35,swap_in,in,Wrapped BNB,WBNB,0.006218494221,1.59
W25,bsc,2023-01-06 12:14:35,swap_out,out,CryptoZoon,ZOON,2177.56,1.46
W25,bsc,2023-01-06 12:14:35,swap_out,out,CryptoZoon,ZOON,44.44,0.03
W25,bsc,2023-01-06 17:29:08,swap_out,out,Wrapped BNB,WBNB,0.04756022441,12.31
W25,bsc,2023-01-06 17:29:08,swap_in,in,CryptoZoon,ZOON,17080.40044,11.52
W25,bsc,2023-01-06 18:40:03,swap_out,out,Wrapped BNB,WBNB,0.1983375239,51.22
W25,bsc,2023-01-06 18:40:03,swap_in,in,CryptoZoon,ZOON,71250,48.15
W25,bsc,2023-01-06 21:35:36,swap_out,out,Wrapped BNB,WBNB,0.5987345202,154.94
W25,bsc,2023-01-06 21:35:36,swap_in,in,CryptoZoon,ZOON,215289.2584,145.32
W25,bsc,2023-01-07 0:27:43,swap_in,in,Wrapped BNB,WBNB,0.05754075794,14.95
W25,bsc,2023-01-07 0:27:43,swap_out,out,CryptoZoon,ZOON,412,0.28
W25,bsc,2023-01-07 0:27:43,swap_out,out,CryptoZoon,ZOON,20188,13.56
W25,bsc,2023-01-07 1:09:27,swap_out,out,Wrapped BNB,WBNB,0.2788555106,72.56
W25,bsc,2023-01-07 1:09:27,swap_in,in,CryptoZoon,ZOON,100359.4725,67.97
W25,bsc,2023-01-07 9:43:03,swap_out,out,Wrapped BNB,WBNB,0.1815922421,47.40
W25,bsc,2023-01-07 9:43:03,swap_in,in,CryptoZoon,ZOON,65390.18066,44.42
W25,bsc,2023-01-07 11:23:05,swap_out,out,Wrapped BNB,WBNB,0.002445349394,0.64
W25,bsc,2023-01-07 11:23:05,swap_in,in,CryptoZoon,ZOON,880.7459262,0.60
W25,bsc,2023-01-07 19:55:59,swap_in,in,Wrapped BNB,WBNB,0.249812318,65.29
W25,bsc,2023-01-07 19:55:59,swap_out,out,CryptoZoon,ZOON,87710,59.35
W25,bsc,2023-01-07 19:55:59,swap_out,out,CryptoZoon,ZOON,1790,1.21
W25,bsc,2023-01-07 20:22:23,swap_out,out,Wrapped BNB,WBNB,0.03983985879,10.42
W25,bsc,2023-01-07 20:22:23,swap_in,in,CryptoZoon,ZOON,14341.46923,9.68
W25,bsc,2023-01-08 1:46:28,swap_out,out,Wrapped BNB,WBNB,0.02505777121,6.54
W25,bsc,2023-01-08 1:46:28,swap_in,in,CryptoZoon,ZOON,9025.459463,6.12
W25,bsc,2023-01-08 4:46:09,swap_out,out,Wrapped BNB,WBNB,0.0221192036,5.77
W25,bsc,2023-01-08 4:46:09,swap_in,in,CryptoZoon,ZOON,7967.47228,5.39
W25,bsc,2023-01-08 9:02:06,swap_out,out,Wrapped BNB,WBNB,0.1846640644,48.17
W25,bsc,2023-01-08 9:02:06,swap_in,in,CryptoZoon,ZOON,66500,45.04
W25,bsc,2023-01-08 15:47:14,swap_out,out,Wrapped BNB,WBNB,0.3279230234,86.34
